TAXID	NAME	COUNT_ORTHOLOGS
taxid:685728	Pristis pectinata	8163
taxid:36176	Chiloscyllium plagiosum	8111
taxid:7830	Scyliorhinus canicula	8099
taxid:7782	Leucoraja erinacea	8010
taxid:7868	Callorhinchus milii	7770
taxid:259920	Rhincodon typus	7398
taxid:8208	Notothenia coriiceps	6814
taxid:101364	Carassius gibelio	6665
taxid:154827	Xyrauchen texanus	6481
taxid:217509	Carassius carassius	6471
taxid:75366	Sinocyclocheilus grahami	6382
taxid:7957	Carassius auratus	6319
taxid:1608454	Sinocyclocheilus anshuiensis	6247
taxid:307959	Sinocyclocheilus rhinocerous	6151
taxid:7757	Petromyzon marinus	5938
taxid:8036	Salvelinus alpinus	5896
taxid:8019	Oncorhynchus kisutch	5883
taxid:8018	Oncorhynchus keta	5715
taxid:74940	Oncorhynchus tshawytscha	5687
taxid:8032	Salmo trutta	5667
taxid:8023	Oncorhynchus nerka	5663
taxid:8017	Oncorhynchus gorbuscha	5473
taxid:8038	Salvelinus fontinalis	5281
taxid:70543	Myxocyprinus asiaticus	5247
taxid:8022	Oncorhynchus mykiss	5219
taxid:7962	Cyprinus carpio	5169
taxid:8040	Salvelinus namaycush	5147
taxid:7913	Polyodon spathula	5045
taxid:8030	Salmo salar	4960
taxid:59861	Coregonus clupeaformis	4860
taxid:7906	Acipenser ruthenus	2770
taxid:8355	Xenopus laevis	57
taxid:89399	Rhinolophus sinicus	23
taxid:7070	Tribolium castaneum	1
taxid:2652724	Exaiptasia diaphana	1
taxid:7668	Strongylocentrotus purpuratus	1
